title,brand,Category,Sub_Category,Column1,Column2,description
"Hayden White Interior 42in Diameter, Fits Height 102in - 114in, 1 42in Tall Platform Rail Spiral Staircase Kit",Mylen STAIRS,,,,,"Mylen's 42in diameter Hayden spiral stairs create space and flexibility for your home design. With a small footprint and Mylen's safety standards, the benefits of a spiral staircase are endless. The Hayden collection is offered in powder coated white, gray or black colors with matching aluminum handrails and personalization options to meet your technical and design needs. The horizontal, stainless steel line rail infills and stainless steel fittings add a unique look for all design tastes. All staircase kits include everything you need to complete your installation in one box (except tools) and typically can be installed in 1 day. All Hayden kits include one platform rail standard for corner or loft mount installations. American made for American specifications, backed with a lifetime warranty on all fabricated metal components, 5 years on any finished components and American customer support, you can easily find an option to meet your vision. Mylen's 42in diameter spiral staircases have 17in of clear walking path. Please review technical data sheet for additional information on measurements. This spiral staircase does not meet minimum 2015 IRC requirements."
68.5 in. x 81.75 in. Davina Right-Hand Inswing 5-Lite Frosted Modern Painted Steel Prehung Front Door with Sidelites,MMI Door,,,,,"MMI Door Majestic Steel Front Door unit comes with our MSystem 2-warranty on both the Door Component and the Base Prehung System, as well as a 10-year warranty on the Glass Lite. All of our Majestic Steel doors are galvanized to resist rust and corrosion, are comprised of 24-Gauge, high quality steel with 22-Gauge steel stiles and rails for additional strength and security and come with a one-piece, high density polystyrene core delivering excellent insulation allowing it to meet or exceed current energy code standards. Door size is 64 in. x 80 in. Unit dimension is 68.5 in. x 81.75 in. The suggested rough opening is 69 in. x 82.25 in. This unit comes with a 6-9/16 in. wide primed FrameSaver frame."
60 in. x 80 in. Right-Hand 3/4-Lite Atherton Decorative Glass Desert Sand Steel Prehung Front Door with Sidelites,JELD-WEN,,,,,"JELD-WEN Steel doors are an affordable choice for homeowners to provide a safe and secure entrance that's attractive to any budget. Their durable and classic style creates an attractive front or side entrance. Built to perform and to enhance your home for years, our steel doors prevent water absorption and resist rust."
72 in. x 80 in. W-2500 Contemporary White Clad Wood Right-Hand 8 Lite Sliding Patio Door w/Stained Interior,JELD-WEN,,,,,"JELD-WEN W-2500 wood sliding patio doors combine beauty with performance. They're made with our exclusive AuraLast Pine wood which has guaranteed protection from termites, rotting and water saturation. The exterior has corrosion-resistant aluminum cladding for added protection and ease of maintenance. They're built to be energy efficient, durable and secure to give you peace of mind. Our wood patio doors are as attractive as they are reliable to enhance the style and function of any home."
ProDirect 3 Ton 14 SEER 36000 BTU Split System R410A Upflow Coil 95% AFUE 90000 BTU Furnace,MRCOOL,,,,,"Treat yourself to the comfort you've always dreamed of, especially if you've had to endure summer after summer of sweaty discomfort, with the ProDirect 3-Ton 14 SEER Split System A/C Condenser. The rotary compressor within this system can process refrigerant extremely quickly to get your home feeling the precise temperature you prefer. The piston flow control device can bump your system's efficiency levels up significantly, too. The safety of your system is a priority, because if something happens to it, you've lost your source of comfort. That's why you can rely on the galvanized steel cabinet and the Gold Fin coil coating to keep your unit running as if it's brand new. This environmentally-friendly and non-toxic coating can keep water from sticking to the coils of your unit so rust can't form. This AHRI certified and ETL Listed unit is further protected by a reliable warranty once you register it online. Don't be disappointed by an uncomfortable summer ever again with this MRCOOL ProDirect 3-Ton Split System A/C Condenser providing you comfort."
72 in. x 80 in. French Knotty Alder Wood 10-Lite Clear Glass red mahogony Stain Right Active Double Prehung Front Door,Krosswood Doors,,,,,Krosswood Doors dress up both the entrance into your home and entryway into your life. Experience the beauty and warmth of wood with the Krosswood Classic French 20 lites knotty alder exterior Double Door. Door comes as a prehung with Mahogany Stain and handing options ready for your opening.
Caroline Avenue 72 in. W x 22 in. D x 35 in. H Double Sink Bath Vanity in Gray with Quartz Top and Mirror,Virtu USA,,,,,"The Caroline Avenue vanity collection emanates an understated elegance that brings beauty and grace to just about any living space. Contemporary shaker style doors and clean lines make it a versatile addition to modern or transitional designs while offering bountiful storage as to not sacrifice functionality. Soft-closing door hinges and drawer glides provide added luxury, safety, and longevity. Each Caroline Avenue vanity is handcrafted with a 2 in. solid wood birch frame built to last a lifetime."
Del Mar Grand Hinged 42 in. x 60 in. x 80 in. Left Drain Alcove Shower Kit in Natural Buff and Satin Nickel Hardware,American Bath Factory,,,,,"American Bath Factory presents Sistine Stone DIY Mosaic shower kits which comes in 3 different package options: Basic, Grand and Luxe. These packages were created so you can complete your bathroom with the transformation you always dreamed of. You can surround yourself with the luxurious look of natural stone, Sistine Stone is a proprietary solid surface material that is easy to install and easier to clean and enjoy. The shower packages come in a few pieces so that installation is quick and easy, saving you both time and money. The showers feature 24 in. x 12 in. wall tile panels and mosaic glass tile accented liner and floor. Showers are 80 in. tall and come with a shaving step and soap dish to match. The Basic package comes with the shower pan and the wall panels. The Grand and Luxe packages come with the glass surround that features heavy-duty tempered glass for safety and durability. The Luxe package also comes with an Exposed Thermostatic Faucet which will complete your shower for a truly luxurious experience. This is the Alcove 42 in. x 60 in. Grand Hinged shower package with Natural Buff walls, Del Mar Mosaic Accents, Left Drain and Satin Nickel metal finish for the hardware. The Grand Hinged kit includes the pan, walls, shaving step, soap dish, drain, and glass enclosure surround with hardware."
53 in. x 81.75 in. Celeste Clear LowE Right-Hand 4-Lite Eclectic Painted Fiberglass Prehung Front Door with Sidelite,MMI Door,,,,,"MMI Door Fiberglass Front Doors are built to last and can add substantial curb appeal to your home. This fiberglass smooth front door unit comes with our MSystem 2-year Warranty on the Door Component and the Base Prehung System as well as a 10-year warranty on the Glass Lite. All of our fiberglass smooth front doors are virtually maintenance free and will not warp, rot, dent or split. Our prehung door unit (called the MSystem) seals out the weather and practically eliminates air and water infiltration all together. Common door size is 36 in. x 80 in. with 14 in. sidelite. Unit dimension is 53 in. x 81.75 in. The suggested rough opening is 53.5 in. x 82.25 in. This unit comes with a 4-9/16 in. wide primed composite frame."
60 in. x 80 in. Left-Hand/Inswing Full Lite Micro-Granite Frosted Glass Mesa Red Steel Prehung Front Door w/Sidelites,JELD-WEN,,,,,"JELD-WEN steel doors are an affordable choice for homeowners to provide a safe and secure entrance that's attractive to any budget. Their durable and classic style creates an attractive front or side entrance. Built to perform and to enhance your home for years, our steel doors prevent water absorption and resist rust."
Newport Grand Hinged 36 in. x 48 in. x 80 in. Left-Hand Corner Shower Kit in Natural Buff and Satin Nickel,American Bath Factory,,,,,"American Bath Factory presents Sistine Stone DIY Mosaic shower kits which comes in 3 different package options: Basic, Grand and Luxe. These packages were created so you can complete your bathroom with the transformation you always dreamed of. You can surround yourself with the luxurious look of natural stone, Sistine Stone is a proprietary solid surface material that is easy to install and easier to clean and enjoy. The shower packages come in a few pieces so that installation is quick and easy, saving you both time and money. The showers feature 24 in. x 12 in. wall tile panels and mosaic glass tile accented liner and floor. Showers are 80 in. tall and come with a shaving step and soap dish to match. The Basic package comes with the shower pan and the wall panels. The Grand and Luxe packages come with the glass surround that features heavy-duty tempered glass for safety and durability. The Luxe package also comes with an Exposed Thermostatic Faucet which will complete your shower for a truly luxurious experience. This is the Corner 36 in. x 48 in. Grand Hinged shower package with Natural Buff walls, Newport Mosaic Accents, Right Threshold and Satin Nickel metal finish for the hardware. The Grand Hinged kit includes the pan, walls, shaving step, soap dish, drain, and glass enclosure surround with hardware."
Tuscany Grand Hinged 36 in. x 54 in. x 80 in. Center Drain Alcove Shower Kit in Desert Sand and Satin Nickel Hardware,American Bath Factory,,,,,"American Bath Factory presents Sistine Stone DIY Mosaic shower kits which comes in 3 different package options: Basic, Grand and Luxe. These packages were created so you can complete your bathroom with the transformation you always dreamed of. You can surround yourself with the luxurious look of natural stone, Sistine Stone is a proprietary solid surface material that is easy to install and easier to clean and enjoy. The shower packages come in a few pieces so that installation is quick and easy, saving you both time and money. The showers feature 24 in. x 12 in. wall tile panels and mosaic glass tile accented liner and floor. Showers are 80 in. tall and come with a shaving step and soap dish to match. The Basic package comes with the shower pan and the wall panels. The Grand and Luxe packages come with the glass surround that features heavy-duty tempered glass for safety and durability. The Luxe package also comes with an Exposed Thermostatic Faucet which will complete your shower for a truly luxurious experience. This is the Alcove 36 in. x 54 in. Grand Hinged shower package with Desert Sand walls, Tuscany Mosaic Accents, Center Drain and Satin Nickel metal finish for the hardware. The Grand Hinged kit includes the pan, walls, shaving step, soap dish, drain, and glass enclosure surround with hardware."
Madras 61 in. Dark Brown Solid Faux Leather 2-Seats Loveseats with Cup Holders,Furniture of America,,,,,"Rich in details, this transitional power recline loveseat is the embodiment of relaxing indulgence. It boasts dark brown faux leather upholstery complete with tailored contrast stitching and comfort tufting. The headrests are adjustable for a custom experience and each armrest is equipped with a cupholder perfect for settling in with a book or movie."
72 in. x 80 in. Viola Left-Hand Inswing 1-Lite Frosted Painted Fiberglass Smooth Prehung Front Door on 6-9/16 in. Frame,MMI Door,,,,,"MMI Door Fiberglass Front Doors are built to last and can add substantial curb appeal to your home. This fiberglass smooth front door unit comes with our MSystem 2-years warranty on the Door Component and the Base Prehung System as well as a 10-years warranty on the Glass Lite. All of our fiberglass smooth front doors are virtually maintenance free and will not warp, rot, dent or split. Our prehung door unit (called the MSystem) seals out the weather and practically eliminates air and water infiltration all together. Common door size is 72 in. x 80 in. Unit dimension is 74 in. x 81.75 in. The suggested rough opening is 74.5 in. x 82.25 in. This unit comes with a 6-9/16 in. wide primed composite frame."
Newport Grand Hinged 38 in. x 38 in. x 80 in. Left-Hand Corner Shower Kit in Wet Cement and Chrome Hardware,American Bath Factory,,,,,"American Bath Factory presents Sistine Stone DIY Mosaic shower kits which comes in 3 different package options: Basic, Grand and Luxe. These packages were created so you can complete your bathroom with the transformation you always dreamed of. You can surround yourself with the luxurious look of natural stone, Sistine Stone is a proprietary solid surface material that is easy to install and easier to clean and enjoy. The shower packages come in a few pieces so that installation is quick and easy, saving you both time and money. The showers feature 24 in. x 12 in. wall tile panels and mosaic glass tile accented liner and floor. Showers are 80 in. tall and come with a shaving step and soap dish to match. The Basic package comes with the shower pan and the wall panels. The Grand and Luxe packages come with the glass surround that features heavy-duty tempered glass for safety and durability. The Luxe package also comes with an Exposed Thermostatic Faucet which will complete your shower for a truly luxurious experience.This is the Corner 38 in. x 38 in. Grand Hinged shower package with Wet Cement walls, Newport Mosaic Accents, Right Threshold and Chrome metal finish for the hardware. The Grand Hinged kit includes the pan, walls, shaving step, soap dish, drain, and glass enclosure surround with hardware."
67.5 in. x 81.625 in. Sapphire Patina 1/2 Lite Unfinished Smooth Right-Hand Fiberglass Prehung Front Door with Sidelites,Feather River Doors,,,,,"Feather River Doors Sapphire 1/2 Lite with Full Lite Sidelites is a Smooth Fiberglass Door with Patina Caming that is ready to paint. This door can be painted any color to match your homes decor. The Sapphire Collection has an elegant clear bevel center design with patina caming accented with glue chip and granite glass. This door has all the long lasting benefits associated with fiberglass doors, a great look, along with a load of features and benefits usually viewed as upgrades with other doors plus Energy Efficient and Energy Star qualified. Door Spec: 36 in. x 80 in. Prehung Door with 14 in. Sidelites, 4-9/16 in. Primed Jamb, Right-Hand Inswing, Fits Rough Opening of 68-1/4 in. x 82-1/8 in."
Newport Grand Slider 36 in. x 60 in. x 80 in. Left Drain Alcove Shower Kit in Natural Buff and Black Pipe Hardware,American Bath Factory,,,,,"American Bath Factory presents Sistine Stone DIY Mosaic shower kits which comes in 3 different package options: Basic, Grand and Luxe. These packages were created so you can complete your bathroom with the transformation you always dreamed of. You can surround yourself with the luxurious look of natural stone, Sistine Stone is a proprietary solid surface material that is easy to install and easier to clean and enjoy. The shower packages come in a few pieces so that installation is quick and easy, saving you both time and money. The showers feature 24 in. x 12 in. wall tile panels and mosaic glass tile accented liner and floor. Showers are 80 in. tall and come with a shaving step and soap dish to match. The Basic package comes with the shower pan and the wall panels. The Grand and Luxe packages come with the glass surround that features heavy-duty tempered glass for safety and durability. The Luxe package also comes with an Exposed Thermostatic Faucet which will complete your shower for a truly luxurious experience. This is the Alcove 36 in. x 60 in. Grand Slider shower package with Natural Buff walls, Newport Mosaic Accents, Left Drain and Black Pipe metal finish for the hardware. The Grand Slider kit includes the pan, walls, shaving step, soap dish, drain, and glass enclosure surround with hardware."
67.5 in.x81.625 in. Lakewood Zinc 3/4 Oval Lite Stained Light Oak Right-Hand Fiberglass Prehung Front Door w/Sidelites,Feather River Doors,,,,,"Feather River Doors Lakewood 3/4 Oval with 3/4 Lite Sidelites is an Oak Woodgrain Fiberglass Door in a Light Oak Finish with Zinc Caming. The Lakewood collection is a true beauty with clear bevel center design surrounded with glue chip glass with a clear bevel and granite glass border. The oak woodgrain texture is patterned off a true wood door design to give the door the warmth and feel of wood with the long lasting benefits of fiberglass. This door is True elegance. This door has all the long lasting benefits associated with fiberglass doors, a great look, along with a load of features and benefits usually viewed as upgrades with other doors plus energy efficient and energy star qualified. Door Specification: 36 in. x 80 in. prehung door with two 14 in. sidelites, 4-9/16 in. primed jamb, Right-Hand inswing, fits rough opening of 68-1/4 in. x 82-1/8 in."
53 in. x 81.75 in. Aveline Frosted Glass Left-Hand 3-Lite Midcentury Painted Steel Prehung Front Door with Sidelite,MMI Door,,,,,"MMI Door Majestic Steel Front Door unit comes with our MSystem 2-year warranty on both the Door Component and the Base Prehung System, as well as a 10-year warranty on the Glass Lite. All of our Majestic Steel doors are galvanized to resist rust and corrosion, are comprised of 24-Gauge, high quality steel with 22-Gauge steel stiles and rails for additional strength and security and come with a one-piece, high density polystyrene core delivering excellent insulation allowing it to meet or exceed current energy code standards. Nominal door size is 36 in. x 80 in. with 14 in. sidelite. Unit dimension is 53 in. x 81.75 in. The suggested rough opening is 53.5 in. x 82.25 in. This unit comes with a 4-9/16 in. wide primed FrameSaver frame."
72 in. x 96 in. Rustic Knotty Alder 2-Panel Common Arch Clear Stain Left-Hand Inswing Wood Double Prehung Front Door,Krosswood Doors,,,,,Krosswood Doors dress up both the entrance into your home and entryway into your life. Experience the beauty and warmth of wood with the Krosswood Rustic style 2-panel Common Arch Top knotty alder exterior Double Door. Door comes as a prehung with Clear Stain and handing options ready for your opening.
,,,,,,
Miranda 59.5 in. W Double Bath Vanity in White with Solid Surface Vanity Top in White with White Basins,Wyndham Collection,,,,,"Sleek and chic are the best words to describe this European shaker vanity, a piece that bridges modern and contemporary. The Miranda vanity is manufactured in high quality durable materials and finished to the exacting standards you've come to expect from the Wyndham Collection. With function as important as form, the elegant design focuses on ample storage and counter space, a choice of 3-different handle colors and 3D adjustable soft-close doors and dovetail drawers."
Cannes 5-Piece Wicker Outdoor Bar Height Dining Set with Sunbrella Beige Cushions,RST Brands,,,,,"Host your guests in style in your outdoor seating space with a commercial grade barstool set to enhance your entertaining area. Barstools rotate a full 360Â° and feature curved armrests for extra comfort. This set is built from weather resistant materials meant to last through the elements, while still being lightweight enough to move as needed."
36 in. x 96 in. 9-Lite with Beveled Glass Left Hand Grey Stain Douglas Fir Prehung Front Door,Krosswood Doors,,,,,The Krosswood Douglas Fir 9-Lite with Beveled Glass is made with quality and beauty at every step. It is constructed with high strength Douglas Fir wood for lasting performance. Customize your door by selecting from our different sizes and stain options to make it your own masterpiece.
Marbleized Tile Top Anti-fatigue Mat 4 ft. x 42 ft. x 7/8 in. Black/White Commercial Mat,Rhino Anti-Fatigue Mats,,,,,"An anti-fatigue mat that provides comfort for people who stand behind counters in pharmacies and teller stations, widely used in laboratories and check-stand applications. The marbleized top surface is a heavy duty 3/32 in. low static vinyl formulation. Surface shall be permanently fused to either a 3/8 in. or 3/4 in. thick a closed cell polymeric sponge base comprised of polyvinyl chloride, acrylonitrile butadiene rubber and chloroprene. Sponge base will have a skin surface to block moisture to resist oils and industrial chemicals. Edges of sponge base will be beveled to within 2 in. of the top surface to effectively taper the edges of the surface to the floor and create a visibly molded incline around the perimeter of the mat. Overall thickness is 1/2 in. or 7/8 in., available in standard stock sizes and in full rolls or custom lengths."
16 ft. Key West Full Cassette Manual Retractable Awning (120 in. Projection) Bright Blue,AWNTECH,,,,,"Enjoy the beautiful outdoors while lounging under an Awntech Key West awning. This shade is Awntech's heavy-duty cassette patio retractable awning. The awning's frame is made up of powder-coated steel and aluminum and simply protects the awning fabric and operational components when it is not in use. The retractable awning comes fully assembled leaving you to only install the awning onto your desired wall surface. This is seamless for any homeowner, DIY (Do-It-Yourself) project, or installer. The awning is offered in widths from 8 feet to 24 feet and has projections from 7 feet up to 10 feet allowing for enough coverage for many spaces such as patios, store fronts, and even stationary vehicles. The awnings durability is impeccable and can withstand 35 mph winds. The fabrics are Beauty-Mark brand and are 100% solution dyed acrylic that are available in solid and stripe fabric colors. The Galveston can only be mounted onto wall surfaces. Every awning will include a rocker arm crank handle, valance, and a remote (for motorized options, a five year limited warranty for fabric and a one year electronics limited warranty (for motorized options)."
Royal 6kW QuickStart Steam Bath Generator Package in Matte Black,SteamSpa,,,,,"The perfect steam sauna experience is exactly what we had in mind with SteamSpa steam generator packages. Easy to install and even easier to operate these steam generators produce a consistent flow of soft and soothing steam thanks to the cleverly designed dual tank technology while minimizing any distracting operational noises. All in all you get a safe, quite, reliable, luxurious steam sauna experience with our compact powerhouse of a steam generator."
72 in. x 80 in. Viola Left-Hand Inswing 1-Lite Clear Low-E Painted Fiberglass Smooth Prehung Front Door,MMI Door,,,,,"MMI Door Fiberglass Front Doors are built to last and can add substantial curb appeal to your home. This fiberglass smooth front door unit comes with our MSystem 2-years warranty on the Door Component and the Base Prehung System as well as a 10-years warranty on the Glass Lite. All of our fiberglass smooth front doors are virtually maintenance free and will not warp, rot, dent or split. Our prehung door unit (called the MSystem) seals out the weather and practically eliminates air and water infiltration all together. Common door size is 72 in. x 80 in. Unit dimension is 74 in. x 81.75 in. The suggested rough opening is 74.5 in. x 82.25 in. This unit comes with a 6-9/16 in. wide primed composite frame."
51 in. x 81.75 in. Aveline Frosted Glass Left-Hand 3-Lite Midcentury Painted Steel Prehung Front Door with Sidelite,MMI Door,,,,,"MMI Door Majestic Steel Front Door unit comes with our MSystem 2-year warranty on both the Door Component and the Base Prehung System, as well as a 10-years warranty on the Glass Lite. All of our Majestic Steel doors are galvanized to resist rust and corrosion, are comprised of 24-Gauge, high quality steel with 22-Gauge steel stiles and rails for additional strength and security and come with a one-piece, high density polystyrene core delivering excellent insulation allowing it to meet or exceed current energy code standards. Nominal door size is 36 in. x 80 in. with 12 in. sidelite. Unit dimension is 51 in. x 81.75 in. The suggested rough opening is 51.5 in. x 82.25 in. This unit comes with a 6-9/16 in. wide primed FrameSaver frame."
68.5 in. x 81.75 in. Classic Left-Hand Inswing 15-Lite Clear Primed Fiberglass Smooth Prehung Front Door with Sidelites,MMI Door,,,,,"MMI Door Fiberglass Front Doors are built to last and can add substantial curb appeal to your home. This fiberglass smooth front door unit comes with our MSystem 2 Warranty on the Door Component and the Base Prehung System as well as a 10-year warranty on the Glass Lite. All of our fiberglass smooth front doors are virtually maintenance free and will not warp, rot, dent or split. Our prehung door unit (called the MSystem) seals out the weather and practically eliminates air and water infiltration all together. Door size is 64 in. x 80 in. Unit dimension is 68.5 in. x 81.75 in. The suggested rough opening is 69 in. x 82.25 in. This unit comes with a 6-9/16 in. wide primed composite frame."
Vertical Wood/Metal Bandsaw,Grizzly Industrial,,,,,"The latest addition to our vertical metal-cutting bandsaws offers affordable versatility not found on any saw in its class. Start with inverter motor speed control. 220-Volt, single-phase goes in and 220-Volt, 3-phase comes out, giving you variable speed control over the blade speed with just the turn of a dial. Blade changes are fast and easy with the quick-release blade feature. This combination allows you to cut any variety of materials (even wood.) and adjust for blade width, tooth pitch and speed on 1 machine. Check out all the other features listed below."
72 in. x 80 in. Viola Right Hand Inswing 1-Lite Clear Low-E Painted Fiberglass Smooth Prehung Front Door,MMI Door,,,,,"MMI Door Fiberglass Front Doors are built to last and can add substantial curb appeal to your home. This fiberglass smooth front door unit comes with our MSystem 2-Warranty on the Door Component and the Base Prehung System as well as a 10-year warranty on the Glass Lite. All of our fiberglass smooth front doors are virtually maintenance free and will not warp, rot, dent or split. Our prehung door unit (called the MSystem) seals out the weather and practically eliminates air and water infiltration all together. Common door size is 72 in. x 80 in. Unit dimension is 74 in. x 81.75 in. The suggested rough opening is 74.5 in. x 82.25 in. This unit comes with a 4-9/16 in. wide primed composite frame."
Miranda 48 in. W Single Bath Vanity in Dark Blue with Solid Surface Vanity Top in White with White Basin and Mirror,Wyndham Collection,,,,,"Sleek and chic are the best words to describe this European shaker vanity, a piece that bridges modern and contemporary. The Miranda vanity is manufactured in high quality durable materials and finished to the exacting standards you've come to expect from the Wyndham Collection. With function as important as form, the elegant design focuses on ample storage and counter space, a choice of three different handle colors, and 3D adjustable soft-close doors and dovetail drawers."
,,,,,,
68 in. Acrylic Oval Drop-in Air Bathtub in Bone,Comfortflo,,,,,"Do you love the intricate craftmanship of historical design styles. With its iconic oval shape and raised scallop deck detailing, the 68 in. x 48 in. Oval air bath alludes to classical Roman architecture and will add opulence to any bathroom it graces. Install it in a custom-built island and make this tub the showpiece of your master bath. It features a deep bathing well and space for 2 people. Twenty-5 spa-grade air jets spread throughout the side walls and floor furnish soft tissue massage to both bathers. Choose from a variety of tub colors and hardware finishes to suit your bathrooms design scheme. Like the architecture that inspired it, the 68 in. x 48 in. Oval is built stand the test of time."
